	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
449	8.67	55.028999999999996	112.726	65.79	172.5	431771648.0
450	8.67	55.028999999999996	113.48	62.79	172.5	371684128.0
451	8.67	55.028999999999996	113.48	63.54	172.5	1174128000.0
452	8.67	55.028999999999996	113.48	64.294	172.5	2014587264.0
453	8.67	55.028999999999996	113.48	65.04	172.5	879042368.0
454	8.67	55.028999999999996	113.48	65.79	172.5	440925088.0
455	8.67	55.028999999999996	114.23	62.79	172.5	491261856.0
456	8.67	55.028999999999996	114.23	63.54	172.5	1485525760.0
457	8.67	55.028999999999996	114.23	64.294	172.5	2418318848.0
458	8.67	55.028999999999996	114.23	65.04	172.5	946759680.0
459	8.67	55.028999999999996	114.23	65.79	172.5	420159488.0
460	8.67	55.028999999999996	114.98	62.79	172.5	729151488.0
461	8.67	55.028999999999996	114.98	63.54	172.5	1957821824.0
462	8.67	55.028999999999996	114.98	64.294	172.5	3185930752.0
463	8.67	55.028999999999996	114.98	65.04	172.5	1172433664.0
464	8.67	55.028999999999996	114.98	65.79	172.5	527168704.0
465	8.67	55.43	110.48	63.54	172.5	426304992.0
466	8.67	55.43	110.48	64.294	172.5	839038080.0
467	8.67	55.43	110.48	65.04	172.5	437181600.0
468	8.67	55.43	110.48	65.79	172.5	219031136.0
469	8.67	55.43	111.23	63.54	172.5	488586336.0
470	8.67	55.43	111.23	64.294	172.5	944090560.0
471	8.67	55.43	111.23	65.04	172.5	475311008.0
472	8.67	55.43	111.23	65.79	172.5	226095824.0
473	8.67	55.43	111.98	62.79	172.5	257697840.0
474	8.67	55.43	111.98	63.54	172.5	564055360.0
475	8.67	55.43	111.98	64.294	172.5	1235157632.0
476	8.67	55.43	111.98	65.04	172.5	719292608.0
