	f4	f3	f2	f1	C	Intensity
363	8.85	55.825	119.15	64.46	172.355	1677439872.0
364	8.85	55.825	119.9	63.71	172.355	812099072.0
365	8.85	55.825	119.9	64.46	172.355	1389397120.0
366	8.85	56.23	115.4	63.71	172.355	539587584.0
367	8.85	56.23	115.4	64.46	172.355	819728768.0
368	8.85	56.23	116.15	63.71	172.355	749458304.0
369	8.85	56.23	116.15	64.46	172.355	1320564224.0
370	8.85	56.23	116.9	63.71	172.355	844287872.0
371	8.85	56.23	116.9	64.46	172.355	1770472064.0
372	8.85	56.23	117.65100000000001	63.71	172.355	610740992.0
373	8.85	56.23	117.65100000000001	64.46	172.355	1585451392.0
374	8.85	56.23	118.4	64.46	172.355	1283825536.0
375	8.85	56.23	119.15	64.46	172.355	1040741120.0
376	8.85	56.23	119.9	64.46	172.355	801949632.0
377	8.85	56.62	116.15	64.46	172.355	723497920.0
378	8.85	56.62	116.9	64.46	172.355	978457152.0
379	8.85	56.62	117.65100000000001	64.46	172.355	893404288.0
380	8.85	56.62	118.4	64.46	172.355	741219712.0
381	8.85	56.62	119.15	64.46	172.355	645147328.0
382	8.85	56.62	119.9	64.46	172.355	510571968.0
383	8.85	57.03	116.15	64.46	172.355	515294560.0
384	8.85	57.03	116.9	64.46	172.355	556319296.0
385	9.25	54.62	115.4	64.46	172.355	674219776.0
386	9.25	54.62	116.15	63.71	172.355	568222464.0
387	9.25	54.62	116.15	64.46	172.355	677724800.0
388	9.25	54.62	116.9	63.71	172.355	823297984.0
389	9.25	54.62	116.9	64.46	172.355	914715456.0
390	9.25	54.62	117.65100000000001	63.71	172.355	696346880.0
391	9.25	54.62	117.65100000000001	64.46	172.355	759901248.0
392	9.25	54.62	118.4	63.71	172.355	559273408.0
393	9.25	54.62	118.4	64.46	172.355	661378752.0
394	9.25	55.03	115.4	63.71	172.355	553779136.0
395	9.25	55.03	115.4	64.46	172.355	734609088.0
396	9.25	55.03	116.15	63.71	172.355	736525952.0
397	9.25	55.03	116.15	64.46	172.355	1007323392.0
398	9.25	55.03	116.9	63.71	172.355	1185169664.0
399	9.25	55.03	116.9	64.46	172.355	1192484736.0
400	9.25	55.03	117.65100000000001	63.71	172.355	1095059072.0
401	9.25	55.03	117.65100000000001	64.46	172.355	1079597952.0
402	9.25	55.03	118.4	63.71	172.355	716162880.0
403	9.25	55.03	118.4	64.46	172.355	878212096.0
404	9.25	55.03	119.15	63.71	172.355	534746816.0
405	9.25	55.03	119.15	64.46	172.355	600639168.0
406	9.25	55.43	115.4	64.46	172.355	543128512.0
407	9.25	55.43	116.15	63.71	172.355	546442624.0
408	9.25	55.43	116.15	64.46	172.355	991292992.0
409	9.25	55.43	116.9	63.71	172.355	932828352.0
410	9.25	55.43	116.9	64.46	172.355	1067269760.0
411	9.25	55.43	117.65100000000001	63.71	172.355	936077376.0
412	9.25	55.43	117.65100000000001	64.46	172.355	1098865664.0
413	9.25	55.43	118.4	63.71	172.355	550044416.0
414	9.25	55.43	118.4	64.46	172.355	855600640.0
415	9.25	55.43	119.15	64.46	172.355	649302656.0
416	9.25	55.825	116.15	64.46	172.355	715280448.0
417	9.25	55.825	116.9	63.71	172.355	516069120.0
418	9.25	55.825	116.9	64.46	172.355	776290688.0
419	9.25	55.825	117.65100000000001	63.71	172.355	524990048.0
420	9.25	55.825	117.65100000000001	64.46	172.355	857975232.0
421	9.25	55.825	118.4	64.46	172.355	686797504.0
422	9.25	55.825	119.15	64.46	172.355	565663424.0
423	9.25	56.23	117.65100000000001	64.46	172.355	512175200.0
